recordnummer;term;broader_term;PID_overige.URI;PID_overige.URI;PID_overige.URI
103859;Administratie van Financiën;Paramaribo (stad);;;
99558;Albina;Marowijne;http://vocab.getty.edu/tgn/1024824;;
559591;Avondschool voor Handwerkslieden;Paramaribo (stad);;;
561443;Berg en Dal (Suriname);Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q819296;;
103417;Berlijn (Suriname);Paramaribo (stad);;;
119579;Bethesda (Suriname);Suriname (Zuid-Amerika);;;
560569;Bigi Poika;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q859684;https://sws.geonames.org/3384120/;
573830;Blaka Watra;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q110070745;;
561437;Bouwdepartement;Paramaribo (stad);;;
38357;Boven-Suriname;Sipaliwini;http://www.wikidata.org/entity/Q2582096;;
105864;Brokopondo;Suriname (Zuid-Amerika);;;
103881;Browns Berg;Suriname (Zuid-Amerika);;;
107559;Brownsweg;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q927447;https://sws.geonames.org/3384475/;
103866;Burenstraat;Paramaribo (stad);;;
110827;Catharina Sophia;Saramacca;;;
561433;Chinese Sociëteit;Paramaribo (stad);;;
103857;Combé;Paramaribo (stad);;;
567340;Combékerk;Paramaribo (stad);;;
24396;Commewijne;Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/1000830;http://www.wikidata.org/entity/Q952510;
574115;Corneliskondre;Sipaliwini;http://www.wikidata.org/entity/Q3316099;;
67647;Coronie;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1130141;http://vocab.getty.edu/tgn/1000831;https://sws.geonames.org/3384397/
110738;Cottica;Suriname (Zuid-Amerika);;;
103871;Cultuurtuin;Paramaribo (stad);;;
556920;Daome;Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/7015386;http://www.wikidata.org/entity/Q730;
561440;Domburg (Suriname);Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q650018;https://sws.geonames.org/3384309/;
103402;Drambrandersgracht;Paramaribo (stad);;;
103403;Emmaschool;Paramaribo (stad);;;
548033;Fort Leyden;Commewijne;;;
567347;Fort Nieuw-Amsterdam;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q762619;https://sws.geonames.org/3383434/;
91392;Fort Zeelandia (Paramaribo);Paramaribo (stad);;;
106876;Frimangron;Paramaribo (stad);http://www.wikidata.org/entity/Q96781860;;
103882;Galibi;Suriname (Zuid-Amerika);;;
119761;Gansee;Suriname (Zuid-Amerika);;;
