recordnummer;term;match_wiki;Qids;broader_term;wikidata;PID_overige.URI;PID_overige.URI2;PID_overige.URI3;wiki_id;wiki_id_broader;wiki_id_query;coords
103859;Administratie van Financiën;Onafhankelijkheidsplein 3, Paramaribo;http://www.wikidata.org/entity/Q56435243;Paramaribo (stad);http://www.wikidata.org/entity/Q56435243;;;;Q56435243;;wd:Q56435243;Point(-55.152306 5.826667)
99558;Albina;Albina;http://www.wikidata.org/entity/Q580016;Marowijne;http://www.wikidata.org/entity/Q580016;http://vocab.getty.edu/tgn/1024824;;;Q580016;;wd:Q580016;Point(-54.05 5.5)
559591;Avondschool voor Handwerkslieden;Avondschool voor Handwerkslieden;;Paramaribo (stad);;;;;;Q3001;wd:Q3001;Point(-55.166666666 5.866666666)
561443;Berg en Dal (Suriname);;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q819296;http://www.wikidata.org/entity/Q819296;;;Q819296;;wd:Q819296;Point(-55.067222222 5.139166666)
103417;Berlijn (Suriname);Berlijn;http://www.wikidata.org/entity/Q2187292;Paramaribo (stad);http://www.wikidata.org/entity/Q2187292;;;;Q2187292;;wd:Q2187292;Point(-55.316666666 5.45)
119579;Bethesda (Suriname);Bethesda, Suriname;http://www.wikidata.org/entity/Q86165820;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q86165820;;;;Q86165820;;wd:Q86165820;Point(-55.0641 5.6122)
560569;Bigi Poika;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q859684;http://www.wikidata.org/entity/Q859684;https://sws.geonames.org/3384120/;;Q859684;;wd:Q859684;Point(-55.504722222 5.414444444)
573830;Blaka Watra;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q110070745;http://www.wikidata.org/entity/Q110070745;;;Q110070745;;wd:Q110070745;Point(-54.929166666 5.404166666)
561437;Bouwdepartement;Bouwdepartement;;Paramaribo (stad);;;;;;Q3001;wd:Q3001;Point(-55.166666666 5.866666666)
38357;Boven-Suriname;;;Sipaliwini;http://www.wikidata.org/entity/Q2582096;http://www.wikidata.org/entity/Q2582096;;;Q2582096;;wd:Q2582096;Point(-55.5751 3.96693)
105864;Brokopondo;Brokopondo District;http://www.wikidata.org/entity/Q847680;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q847680;;;;Q847680;;wd:Q847680;Point(-55.129444444 4.7725)
