recordnummer;objectnummer;titel;beschrijving;vervaardiger;datering.datum.start;datering.datum.eind;objectnaam;materiaal;classificatiecode;inhoud.classificatie.code;geografisch_trefwoord;inhoud.hoofdmotief.algemeen;inhoud.hoofdmotief.specifiek;inhoud.onderwerp;inhoud.persoon.naam;PID_data.URI;PID_werk.URI
7462;SK-A-1671;Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname;Portret van Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname. Heupstuk, staande in wapenrusting naar links. Links een gepluimde helm. Commandostaf in de rechterhand, de linkerhand in de zij. Linksboven het familiewapen op een zuil.;anoniem;1680;1680;schilderij;doek$olieverf;"";61B2$44B241;Suriname (Zuid-Amerika);portret$overzeese geschiedenis;"";"";Aerssen jr., Cornelis van;https://data.rijksmuseum.nl/20027399;https://id.rijksmuseum.nl/20027399
7886;SK-A-2630;Portret van een man;Portret van een onbekende man. Buste, in profiel naar rechts. Onderdeel van de collectie pastels.;Anspach, Johan;1802-05-14;1802-05-14;pastel$tekening;perkament;"";61B1;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200109063;https://id.rijksmuseum.nl/200109063
7890;SK-A-2634;Portret van een vrouw;Silhouet portret van een Surinaamse vrouw. Buste, naar rechts. Met prominente boezem en hoge hoed met strikken. Onderdeel van de collectie portretminiaturen.;anoniem;1790;1790;miniatuur (schildering);perkament$metaal$glas;"";61BB1;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/20027589;https://id.rijksmuseum.nl/20027589
7891;SK-A-2635;Portret van een Surinaams meisje;Portret van een Surinaams meisje. Buste, naar rechts, aanziend. Onderdeel van de collectie portretminiaturen.;anoniem$anoniem;1810;1810;miniatuur (schildering);ivoor$goud$email$parel$haar;"";61BB2;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200105905;https://id.rijksmuseum.nl/200105905
7893;SK-A-2637;Portret van een Surinaams meisje;Portret van een Surinaams meisje. Buste, naar links, de beschouwer aanziend. Onderdeel van de collectie portretminiaturen.;anoniem;1805;1805;miniatuur (schildering);ivoor$verf$hout$metaal$verguldsel;"";61BB2;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200105901;https://id.rijksmuseum.nl/200105901
7897;SK-A-2641;Portret van Surinaams meisje;Portret van een Surinaamse vrouw. Buste naar links, de beschouwer aanziend, met een grote hoofddoek. Onderdeel van de collectie portretminiaturen.;anoniem;1805;1805;miniatuur (schildering);ivoor$verf$hout$verguldsel$metaal;"";61BB2;Suriname (Zuid-Amerika);"";"";"";"";https://data.rijksmuseum.nl/200105903;https://id.rijksmuseum.nl/200105903
8933;SK-A-2252;Johan François Adriaan Cateau van Rosevelt (1823-91). Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname;Portret van Johan François Adriaan Cateau van Rosevelt. Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname. Kniestuk, zittend in een stoel, op de borst meerdere decoraties, in de rechterhand een landkaart van Suriname. Vervaardigd ter gelegenheid van zijn vijftigjarige ambtsjubileum in 1885.;Lovera;1885;1885;schilderij;doek$olieverf;"";61B2;Suriname (Zuid-Amerika);portret$overzeese geschiedenis$immigranten$ambtsjubileum;"";"";Rosevelt, Johan François Adriaan Cateau van;https://data.rijksmuseum.nl/20028215;https://id.rijksmuseum.nl/20028215
10084;SK-A-4060;Portret van Joan Jacob Mauricius, gouverneur van Suriname, dichter en toneelminnaar$Portret van Joan Jacob Mauricius, gouverneur-generaal van Suriname, dichter en toneelminnaar;Portret van Joan Jacob Mauricius (1692-1768). Gouverneur van Suriname, dichter en toneelminnaar. Ten voeten uit, zittend aan een tafel. In de linkerhand een blad papier. Op tafel bedekt met een Perzisch kleed staan twee Chinese figuren op een lakkistje, een porseleinen haan, enkele schelpen en een getekend zelfportret van Cornelis Troost. Tegen de achterwand een boekenkast met toneelwerken en een schilderij met een voorstelling van de liefdesverklaring van Reinier Adriaansz uit het toneelstuk 'Jan Claesz of de gewaande Dienstmaagt' van Thomas Asselijn. Op de vloer staat een globe. Onderdeel van de collectie pastels.;Troost, Cornelis;1741;1741;pastel$tekening;papier;"";61B2$41A712;Suriname (Zuid-Amerika);overzeese geschiedenis$politieke geschiedenis$cultuurgeschiedenis;"";"";Mauricius, Joan Jacob;https://data.rijksmuseum.nl/200110494;https://id.rijksmuseum.nl/200110494
10090;SK-A-4075;Surinaams landschap met een plantage van Jonas Witsen$Plantage in Suriname;Dit werk stelt een van de vele suikerplantages langs de Surinamerivier voor, mogelijk Palmeneribo. Het werd gemaakt in opdracht van Jonas Witsen, sinds 1702 de eigenaar van de plantage en de slavenhouder in Amsterdam. Tussen de awarapalmen is op de achtergrond het bakstenen woonhuis dat bij de plantage hoort zichtbaar.Op de voorgrond zien we enkele Lokono, een van de oorspronkelijke bevolkingsgroepen van dit gebied. Er is een woning gemaakt van palmbladeren, een man of vrouw in een hangmat en geheel links een vierkante omheining, waarschijnlijk gemaakt van suikerrietstengels. De daadwerkelijke plantage en de vele mensen die daar in slavernij werkten ontbreken. Jonas Witsen erfde in 1702 van zijn vrouw Sara Scharphuijzen de plantages Waterland, Surimombo en Palmeneribo. Om zijn bezit in kaart te brengen stuurde hij de schilder Dirk Valkenburg naar Suriname.$Een plantage in Suriname met links en rechts groepen palmen. In het midden enkele mensen bij een woning van palmbladeren, in de verte de gebouwen van de plantage.$Een plantage in Suriname met links en rechts groepen palmen. In het midden een inlandse hut met enkele inlanders, in de verte de gebouwen van de plantage.;Valkenburg, Dirk;1707;1707;schilderij;doek$olieverf;"";25K182$25G3(PALM-TREE)$32B344;Suriname (Zuid-Amerika);oorspronkelijke bewoners van Zuid-Amerika$economische geschiedenis$plantage;"";"";Witsen, Jonas$West-Indische Compagnie;https://data.rijksmuseum.nl/20015028;https://id.rijksmuseum.nl/20015028
10129;SK-A-4153;Daniel Francis Schas (1772-1848). Van 1814 tot 1820 lid van de Raad van de koophandel en koloniën;Portret van Daniel Francis Schas, van 1814 tot 1820 lid van de Raad van de Koophandel en Koloniën. Ten halven lijve met grijze jas en witte das. Pendant van SK-A-4154.;Dubois Drahonet, Alexandre Jean;1826;1826;schilderij;doek$olieverf;"";"";Suriname (Zuid-Amerika);portret$overzeese geschiedenis$economische geschiedenis;"";"";Schas, Daniel Francis;https://data.rijksmuseum.nl/20028763;https://id.rijksmuseum.nl/20028763
10374;SK-A-4481;De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo;De begrafenis van pastoor Joannes Vitus Janssen (1803-43) op het oude kerkhof aan de Rust en Vredestraat te Paramaribo. De aankomst van de begrafenisstoet bij de ingang naar het kerkhof. Op de voorgrond staan toeschouwers, rechts enkele  rijtuigen.;anoniem;1843;1845;schilderij;doek$olieverf;"";43A49$42E22;Paramaribo (stad);historiestuk$overzeese geschiedenis$religieuze geschiedenis$begrafenis;"";"";Janssen, Joannes Vitus$Donders, Petrus$Kempkes, Th.$Grooff, Jacobus$West-Indische Compagnie;https://data.rijksmuseum.nl/2002929;https://id.rijksmuseum.nl/2002929
