id,type,title,canonical_url,short_url,latitude,longitude
"7630","post","Apoera","https://www.atlasofmutualheritage.nl/page/7630/apoera","https://www.atlasofmutualheritage.nl/id/7630","5.162882","-57.163203"
"7763","post","Armina","https://www.atlasofmutualheritage.nl/page/7763/armina","https://www.atlasofmutualheritage.nl/id/7763","5.131953","-54.371096"
"7764","post","Batavia (Suriname)","https://www.atlasofmutualheritage.nl/page/7764/batavia-suriname","https://www.atlasofmutualheritage.nl/id/7764","5.71186","-55.876125"
"7766","post","Brandwacht","https://www.atlasofmutualheritage.nl/page/7766/brandwacht","https://www.atlasofmutualheritage.nl/id/7766","0","0"
"2252","fort","Brandwagt, post (Mot Creek)","https://www.atlasofmutualheritage.nl/page/2252/brandwagt-post-mot-creek","https://www.atlasofmutualheritage.nl/id/2252","5.981403","-54.721986"
"9964","post","Cassewinica Creek","https://www.atlasofmutualheritage.nl/page/9964/cassewinica-creek","https://www.atlasofmutualheritage.nl/id/9964","5.856026","-54.883897"
"9756","post","Clevia Plantation","https://www.atlasofmutualheritage.nl/page/9756/clevia-plantation","https://www.atlasofmutualheritage.nl/id/9756","5.868061","-55.11325"
"9890","post","Commewijne River","https://www.atlasofmutualheritage.nl/page/9890/commewijne-river","https://www.atlasofmutualheritage.nl/id/9890","5.894127","-55.063004"
"7768","post","Coronie","https://www.atlasofmutualheritage.nl/page/7768/coronie","https://www.atlasofmutualheritage.nl/id/7768","5.866666667","-56.31666667"
"10005","post","Cottica River","https://www.atlasofmutualheritage.nl/page/10005/cottica-river","https://www.atlasofmutualheritage.nl/id/10005","5.851733","-54.796494"
"7769","post","Devil&#39;s Harwar","https://www.atlasofmutualheritage.nl/page/7769/devil-s-harwar","https://www.atlasofmutualheritage.nl/id/7769","0","0"
"7770","post","Gelderland","https://www.atlasofmutualheritage.nl/page/7770/gelderland","https://www.atlasofmutualheritage.nl/id/7770","5.451745","-54.986705"
"7771","post","Groningen","https://www.atlasofmutualheritage.nl/page/7771/groningen","https://www.atlasofmutualheritage.nl/id/7771","5.79649","-55.548105"
"7782","post","Honkoop","https://www.atlasofmutualheritage.nl/page/7782/honkoop","https://www.atlasofmutualheritage.nl/id/7782","0","0"
"7744","post","Houttuin","https://www.atlasofmutualheritage.nl/page/7744/houttuin","https://www.atlasofmutualheritage.nl/id/7744","5.75","-55.13333333"
"7776","post","Hughesburg","https://www.atlasofmutualheritage.nl/page/7776/hughesburg","https://www.atlasofmutualheritage.nl/id/7776","0","0"
"7778","post","Imotappi","https://www.atlasofmutualheritage.nl/page/7778/imotappi","https://www.atlasofmutualheritage.nl/id/7778","0","0"
"7748","post","Jodensavanne","https://www.atlasofmutualheritage.nl/page/7748/jodensavanne","https://www.atlasofmutualheritage.nl/id/7748","5.427501","-54.90525"
"2199","fort","Leyden, redoute (Suriname)","https://www.atlasofmutualheritage.nl/page/2199/leyden-redoute-suriname","https://www.atlasofmutualheritage.nl/id/2199","5.931657","-55.130281"
"10188","post","Marowijne River","https://www.atlasofmutualheritage.nl/page/10188/marowijne-river","https://www.atlasofmutualheritage.nl/id/10188","5.5411528","-54.031277"
"9993","post","Matapica (creek and coast)","https://www.atlasofmutualheritage.nl/page/9993/matapica-creek-and-coast","https://www.atlasofmutualheritage.nl/id/9993","5.972856","-55.016023"
"7779","post","Mauritsburg","https://www.atlasofmutualheritage.nl/page/7779/mauritsburg","https://www.atlasofmutualheritage.nl/id/7779","0","0"
"10539","post","Mot Creek","https://www.atlasofmutualheritage.nl/page/10539/mot-creek","https://www.atlasofmutualheritage.nl/id/10539","5.944801","-54.71201"
"7756","post","Nieuw Amsterdam (Suriname)","https://www.atlasofmutualheritage.nl/page/7756/nieuw-amsterdam-suriname","https://www.atlasofmutualheritage.nl/id/7756","5.885547","-55.087817"
