objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
RP-P-1950-280,Portret van Johan Raye van Breukelerwaard,no-geo-details,,,,
RP-P-1910-1539,Portret van Johan Raye van Breukelerwaard,no-geo-details,,,,
RP-P-1938-1112,Surinamers en Hollanders drinken thee,no-geo-details,,,,
RP-P-OB-65.081,Portret van Joan Jacob Mauricius,no-geo-details,,,,
NG-MC-1407,Halfmodel van het schroefstoomschip Suriname,no-geo-details,,,,
RP-F-F18711,Portret van een Afro-Surinaams kindermeisje met twee Europese kinderen,no-geo-details,,,,
RP-F-F20834,Zeven Marronmannen voor de ingang van een Marrondorp (vermoedelijk) te Suriname,no-geo-details,,,,
RP-T-1994-281,"Album met 35 tekeningen,op één na ingeplakt, van landschappen, plantages en typen in Suriname",no-geo-details,,,,
RP-T-1994-281-31(V),Figuurstudies,no-geo-details,,,,
RP-T-1994-281-34,Vrouw in koto misi met zakdoek,no-geo-details,,,,
RP-P-OB-57.019,Wapenschild van de Sociëteit van Suriname,no-geo-details,,,,
RP-P-1957-798,Wapenschild van de Sociëteit van Suriname,no-geo-details,,,,
RP-P-OB-65.248,Wapenschild van Stephanus Laurentius Neale,no-geo-details,,,,
RP-P-1896-A-19368-3085,Paskaart van verschillende Surinaamse rivieren,no-geo-details,,,,
RP-P-1896-A-19368-3086,Paskaart van een deel van de kust van Suriname en Guyana,no-geo-details,,,,
RP-P-1944-256,Gezicht op Paramaribo,no-geo-details,,,,
RP-F-C109,"Portret van de gouverneur generaal van Suriname, Reinier Frederik Baron van Raders",no-geo-details,,,,
RP-P-OB-20.471,"Zuid-zuid-west. Maritiem museum  ""Prins Hendrik"" Rotterdam. Geschiedenis Nederland - Suriname",no-geo-details,,,,
RP-P-OB-100.203,Suriname. Land en volk,no-geo-details,,,,
RP-P-OB-100.224,"Herfstflora 70. Mexicaanse kunst, kunst uit Suriname, schilderijen, beelden, ceramiek, wandtapijten van Josje Smit, Japanse bloemsierkunst en verzorgd door de Nederlandse Ikebana club",no-geo-details,,,,
RP-F-F01203-A,Portret van een meisje met een hoed,no-geo-details,,,,
RP-F-F01203-B,Portret van een vrouw met opgestoken haar,no-geo-details,,,,
RP-F-F01203-AG,Man en vrouw op de Kanarielaan in Buitenzorg,no-geo-details,,,,
RP-F-F01203-AO,Nederlands gezelschap aan boord van het schip 'Innsbruck',no-geo-details,,,,
RP-F-F01203-AV,Gezelschap aan boord van stoomschip 'Prins Willem III',no-geo-details,,,,
RP-F-F01203-AW,Gezelschap aan boord van stoomschip 'Prins Willem III',no-geo-details,,,,
RP-F-F01203-AX,"Mannen, vrouwen en een kind bij een houten trap, twee mogelijk verkleed in oosterse gewaden",no-geo-details,,,,
RP-F-F01203-BC,Kat in een mand,no-geo-details,,,,
RP-F-F01203-BD,Kat in een mand,no-geo-details,,,,
RP-F-F01203-BE,Vrouw houdt kat in een mand vast,no-geo-details,,,,
RP-F-F01203-BG,Groepsportret van jonge vrouwen in een ruimte met beeldhouwwerken,no-geo-details,,,,
RP-F-F01203-BR,Gezelschap waaronder geestelijken aan boord van de 'Prins der Nederlanden',no-geo-details,,,,
RP-F-F01203-CA,Portret van een (vermoedelijk) Nederlandse vrouw met een hoed,no-geo-details,,,,
RP-F-F01203-CB,Portret van een (vermoedelijk) Nederlandse vrouw met een hoed,no-geo-details,,,,
RP-F-F01203-CI,"Gezelschap aan een gedekte tafel bij een feestelijke gelegenheid, mogelijk in Nederland",no-geo-details,,,,
RP-F-F01203-CJ,"Gezelschap aan een gedekte tafel bij een feestelijke gelegenheid, mogelijk in Nederland",no-geo-details,,,,
RP-F-F01203-CK,"Vrouw met kat in haar armen, mogelijk in Paramaribo (uitgeknipt)",no-geo-details,,,,
RP-F-F01203-CR,"Portret van een jonge vrouw in een baljurk, en profil",no-geo-details,,,,
RP-F-F01203-CW,Portret van een onbekende man,no-geo-details,,,,
RP-F-F01203-DG,"Groepsportret van jonge vrouwen in een tekenschool, vermoedelijk in Nederland",no-geo-details,,,,
RP-F-F01203-DK,Europese vrouw poserend bij een trap in Indiase kleding,no-geo-details,,,,
RP-F-F01203-DM,"Vrouw met kat in haar armen, mogelijk in Paramaribo (uitgeknipt)",no-geo-details,,,,
RP-F-F01203-DN,Europese vrouw gekleed als geisha,no-geo-details,,,,
RP-F-F01203-DO,Gezelschap drinkt koffie in etablissement,no-geo-details,,,,
RP-F-F01203-DP,Gezelschap aan boord van de S.S. 'Van Rensselaer',no-geo-details,,,,
RP-F-F01203-DQ,Gezelschap aan boord van de S.S. 'Van Rensselaer',no-geo-details,,,,
RP-F-F01203-DS,Gezelschap aan boord van de S.S. 'Van Rensselaer',no-geo-details,,,,
RP-F-F01203-DT,Portret van een vrouw en een klein meisje,no-geo-details,,,,
RP-F-F01203-DU,Portret van een vrouw en een jong meisje,no-geo-details,,,,
RP-F-F01203-DV,Portret van een jongen en een meisje met een handdoek om de middel geslagen,no-geo-details,,,,
RP-F-F01203-DW,"Familieportret van man, vrouw, kinderen met kat",no-geo-details,,,,
RP-F-F01203-DY,Twee vrouwen bij een woonhuis,no-geo-details,,,,
RP-F-2009-282,"Suriname 1895-1898, 'Souvenirs de Voyage'",no-geo-details,,,,
NG-2010-36-1,Hof van Justitie in Suriname,no-geo-details,,,,
RP-F-2009-282-1,Jhr. Mr. T.A.J. van Asch van Wijck / Gouverneur van Suriname,no-geo-details,,,,
RP-F-2009-282-36-1,Javaanse vrouwen in het immigrantendepot,no-geo-details,,,,
RP-F-2009-282-36-2,De gammelang,no-geo-details,,,,
RP-F-2009-282-83-3,Jhr. Mr. T.A.J. van Asch van Wijck / Gouverneur van Suriname,no-geo-details,,,,
RP-F-2009-258,Vier maanden in Suriname,no-geo-details,,,,
RP-F-2014-104-1,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-2,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-3,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-4,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-5,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-6,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-7,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-8,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-9,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-10,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-11,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-12,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-13,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-14,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-15,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-16,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-17,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104-18,Portret van een Surinamer,no-geo-details,,,,
RP-F-2014-104,Portretten van Surinamers,no-geo-details,,,,
NG-2016-55,Herman Ritfeld (1924-2014) op het voetbaldveld van Tutubuka,no-geo-details,,,,
RP-F-F01204-15,Drie vrouwen in winterjassen op een modderpad,no-geo-details,,,,
NG-2009-124-14,Albumblad met zes foto's,no-geo-details,,,,
RP-T-BR-2017-1-5-19,Halsbandcotinga (Cotinga cayana),no-geo-details,,,,
NG-2016-18-1-2,Doosje horend bij de penning Opening luchtdienst Amsterdam-Paramaribo in 1949,no-geo-details,,,,
RP-F-2018-66,Portret van een onbekende vrouw,no-geo-details,,,,
NG-2018-570,Cornelis van Aerssen van Sommelsdijck,no-geo-details,,,,
NG-2018-576,Joan Jacob Mauricius,no-geo-details,,,,
NG-2018-578,Jan Gerhard Wichers,no-geo-details,,,,
NG-2018-583,Jhr. Mr. T.A.J. van Asch van Wijck / Gouverneur van Suriname,no-geo-details,,,,
NG-2018-584,Ir. Cornelis Lely,no-geo-details,,,,
NG-2018-585,Johannes graaf van der Bosch,no-geo-details,,,,
NG-2018-586,Dirck Fock,no-geo-details,,,,
RP-F-2019-244,Krijger in tooi ten tijde van de Toemoek expeditie,no-geo-details,,,,
RP-F-2019-245,Portret van een bewoner van het gebied rond de Tapanahoni-rivier,no-geo-details,,,,
RP-F-2019-246,Groepje Indianen bij een rituele dans ten tijde van de Toemoek expeditie,no-geo-details,,,,
RP-P-RMA1665,Suriname/Sranan,no-geo-details,,,,
RP-P-RMA1965,Suriname in houtsnijwerk en beelden,no-geo-details,,,,
RP-P-RMA2538,Natuurbescherming in Suriname en de Nederlandse Antillen,no-geo-details,,,,
RP-P-RMA4820,Dierenleven in Suriname,no-geo-details,,,,
RP-P-RMA5023,"Suriname, ver land dichtbij",no-geo-details,,,,
RP-D-2020-1-3,Vrij Nederland pagina Suriname,no-geo-details,,,,
RP-D-2020-1-4,Vrij Nederland pagina Suriname,no-geo-details,,,,
KOG-MP-1-5293,"4 duiten van Suriname, 1679",no-geo-details,,,,
KOG-MP-1-5294,"4 duiten van Suriname, 1679",no-geo-details,,,,
KOG-MP-1-5295,"Duit van Suriname, 1764",no-geo-details,,,,
KOG-MP-1-5294A,"2 duiten van Suriname, 1679",no-geo-details,,,,
KOG-ZG-1-11-60,Gedicht op de aanstelling van Geoctroyeerde Sociëteit van Suriname,no-geo-details,,,,
RP-F-2019-242-17-13,Vrijend stel (Latour) op handen en knieën,no-geo-details,,,,
NG-2024-42,Gezicht op Paramaribo,no-geo-details,,,,
NG-2022-1-2-1909,"Vijf kaarten met Nederland, de Nederlandse Antillen, Suriname en Indonesië",no-geo-details,,,,
NG-2022-1-2-2255,Portret van een onbekende vrouw uit Suriname,no-geo-details,,,,
NG-2022-1-2-2268,Per eerste vliegtocht Nickerie - Paramaribo,no-geo-details,,,,
RP-F-2022-43-8-253-68,Gezicht op een raderstoomboot van Yarrow & Co. bestemd voor Suriname,no-geo-details,,,,
BI-2024-2536-1,"Titelpagina voor: Maria Sibylla Merian, Metamorphosis insectorum Surinamensium (...), 1705",no-geo-details,,,,
NG-2024-77,Intimiteit,no-geo-details,,,,
NG-2022-31-34,Slavenmarkt in Suriname,no-geo-details,,,,
NG-2022-31-35,Groentemarkt in Paramaribo,no-geo-details,,,,
NG-2022-1-10-24,Fotoreproductie van een prent met een plantage-eigenaar en zijn gevolg in Suriname,no-geo-details,,,,
NG-2022-1-12-19,Fotoreproductie van een statistiek met vermoedelijk de verdeling van gelovigen in Suriname,no-geo-details,,,,
