objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
RP-P-1950-280,Portret van Johan Raye van Breukelerwaard,no-geo-details,,,,
RP-P-1910-1539,Portret van Johan Raye van Breukelerwaard,no-geo-details,,,,
RP-P-1938-1112,Surinamers en Hollanders drinken thee,no-geo-details,,,,
RP-P-OB-65.081,Portret van Joan Jacob Mauricius,no-geo-details,,,,
RP-F-1994-16-6,"Tamarindelaan op plantage Mariënburg, Suriname",thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
RP-F-1994-16-21,"Grote Combéweg met het Logeergebouw, Paramaribo",thesaurus-no-coords,Grote Combéweg,Grote Combéweg,thesaurus,Paramaribo (stad)
RP-F-1994-16-22,Gouvernementspaleis te Paramaribo,thesaurus-no-coords,Gouvernementspaleis,Gouvernementspaleis,thesaurus,Paramaribo (stad)
NG-MC-1407,Halfmodel van het schroefstoomschip Suriname,no-geo-details,,,,
RP-F-F24823,"Gezicht op de Waterkant, Paramaribo",thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
RP-F-F24824,"Gezicht op de Waterkant, Paramaribo",thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
RP-F-F01154-N,Menigte op het Gouvernementsplein te Paramaribo met Koninginnedag,thesaurus-no-coords,Gouvernementsplein,Gouvernementsplein,thesaurus,Paramaribo (stad)
RP-F-F01154-AL,Huizen aan de Grote Combéweg in Paramaribo,thesaurus-no-coords,Grote Combéweg,Grote Combéweg,thesaurus,Paramaribo (stad)
RP-F-F01154-M,Gezicht op een menigte aan de Waterkant in Paramaribo met Koninginnedag,thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
RP-F-F18711,Portret van een Afro-Surinaams kindermeisje met twee Europese kinderen,no-geo-details,,,,
RP-F-F20834,Zeven Marronmannen voor de ingang van een Marrondorp (vermoedelijk) te Suriname,no-geo-details,,,,
RP-T-1994-281,"Album met 35 tekeningen,op één na ingeplakt, van landschappen, plantages en typen in Suriname",no-geo-details,,,,
RP-T-1994-281-31(V),Figuurstudies,no-geo-details,,,,
RP-T-1994-281-34,Vrouw in koto misi met zakdoek,no-geo-details,,,,
NG-1035-A,"Stoomschip ""Nederland""- naar Suriname.",unresolved-only,Nederland | Indië,Nederland | Indië,unresolved | unresolved, | 
RP-P-OB-57.019,Wapenschild van de Sociëteit van Suriname,no-geo-details,,,,
RP-P-1957-798,Wapenschild van de Sociëteit van Suriname,no-geo-details,,,,
RP-P-OB-65.248,Wapenschild van Stephanus Laurentius Neale,no-geo-details,,,,
RP-P-1896-A-19368-3085,Paskaart van verschillende Surinaamse rivieren,no-geo-details,,,,
RP-P-1896-A-19368-3086,Paskaart van een deel van de kust van Suriname en Guyana,no-geo-details,,,,
RP-P-1944-256,Gezicht op Paramaribo,no-geo-details,,,,
NG-2005-19,Surinamers in Nederland: 29 foto's uit het archief van Ons Vrije Nederland,unresolved-only,Nederland,Nederland,unresolved,
RP-F-C109,"Portret van de gouverneur generaal van Suriname, Reinier Frederik Baron van Raders",no-geo-details,,,,
RP-P-OB-20.471,"Zuid-zuid-west. Maritiem museum  ""Prins Hendrik"" Rotterdam. Geschiedenis Nederland - Suriname",no-geo-details,,,,
RP-P-OB-100.203,Suriname. Land en volk,no-geo-details,,,,
RP-P-OB-100.224,"Herfstflora 70. Mexicaanse kunst, kunst uit Suriname, schilderijen, beelden, ceramiek, wandtapijten van Josje Smit, Japanse bloemsierkunst en verzorgd door de Nederlandse Ikebana club",no-geo-details,,,,
RP-F-2009-223,"Paramaribo, Jodenbreestraat 1975",thesaurus-no-coords,Jodenbreestraat (Paramaribo),Jodenbreestraat (Paramaribo),thesaurus,Paramaribo (stad)
RP-F-F01203-A,Portret van een meisje met een hoed,no-geo-details,,,,
RP-F-F01203-B,Portret van een vrouw met opgestoken haar,no-geo-details,,,,
RP-F-F01203-C,Onthulling van een standbeeld van koningin Wilhelmina op het Gouvernementsplein te Paramaribo,thesaurus-no-coords,Gouvernementsplein,Gouvernementsplein,thesaurus,Paramaribo (stad)
RP-F-F01203-D,Versierde erepoort bij het paleis van de gouverneur in Paramaribo ter gelegenheid van het 25-jarig regeringsjubileum van koningin Wilhelmina,thesaurus-no-coords,Gouvernementspaleis,Gouvernementspaleis,thesaurus,Paramaribo (stad)
RP-F-F01203-E,Feestverlichting aan het paleis van de gouverneur in Paramaribo ter gelegenheid van het 25-jarig regeringsjubileum van koningin Wilhelmina,thesaurus-no-coords,Gouvernementspaleis,Gouvernementspaleis,thesaurus,Paramaribo (stad)
RP-F-F01203-G,Gouverneur Aarnoud van Heemstra (staand in donker pak) met een gezelschap op de Maäboberg in Suriname,thesaurus-no-coords,Maäbo Heuvel,Maäbo Heuvel,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-I,Gouverneur Aarnoud van Heemstra (midden) met een gezelschap bij Kwakoegron in Suriname,thesaurus-no-coords,Kwakoegron,Kwakoegron,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-H,Gezelschap langs een spoorbaan op de Maäboberg in Suriname,thesaurus-no-coords,Maäbo Heuvel,Maäbo Heuvel,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-O,Gezelschap in een boot en op een loopbrug bij plantage 'La Liberté' in Suriname,thesaurus-no-coords,Plantage La Liberté,Plantage La Liberté,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-Q,Gezelschap zittend in een sinaasappelveld op plantage 'La Liberté' in Suriname,thesaurus-no-coords,Plantage La Liberté,Plantage La Liberté,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-R,Gezelschap zittend in een sinaasappelveld op plantage 'La Liberté' in Suriname,thesaurus-no-coords,Plantage La Liberté,Plantage La Liberté,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-AG,Man en vrouw op de Kanarielaan in Buitenzorg,no-geo-details,,,,
RP-F-F01203-AH,Twee vrouwen in 's Lands Plantentuin in Buitenzorg,unresolved-only,'s Lands Plantentuin,'s Lands Plantentuin,unresolved,
RP-F-F01203-AI,"Man en vrouw op zittend op rivierkeien, vermoedelijk in Nederlands-Indië",unresolved-only,Nederlands-Indië,Nederlands-Indië,unresolved,
RP-F-F01203-AJ,Man en vrouw staand onder varens in 's Lands Plantentuin te Buitenzorg,unresolved-only,Buitenzorg (West-Java),Buitenzorg (West-Java),unresolved,
RP-F-F01203-AK,Vrouw met herten bij het paleis van de Gouverneur-Generaal in Buitenzorg,unresolved-only,Paleis van de Gouverneur-Generaal,Paleis van de Gouverneur-Generaal,unresolved,
RP-F-F01203-AL,Paard en wagen voor Hotel du Chemin de Fer in Buitenzorg,unresolved-only,Buitenzorg (West-Java),Buitenzorg (West-Java),unresolved,
RP-F-F01203-AM,Vrouw poseert bij Javaanse kooplieden op markt in Buitenzorg,unresolved-only,Buitenzorg (West-Java),Buitenzorg (West-Java),unresolved,
RP-F-F01203-AN,Twee Spaanse vrouwen met parasol in Lembang,unresolved-only,Lembang,Lembang,unresolved,
RP-F-F01203-AO,Nederlands gezelschap aan boord van het schip 'Innsbruck',no-geo-details,,,,
RP-F-F01203-AP,Mensen in een aardappelveld te Lembang,unresolved-only,Lembang,Lembang,unresolved,
RP-F-F01203-AQ,Leden van de familie Janschen zittend op een erf in Medan,unresolved-only,Medan,Medan,unresolved,
RP-F-F01203-AR,"Portret van een meisje van de familie Janschen in een lichte jurk, in Medan",unresolved-only,Medan,Medan,unresolved,
RP-F-F01203-AS,Vrouw en kind van de familie Janschen plukken bloemen in Medan,unresolved-only,Medan,Medan,unresolved,
RP-F-F01203-AT,Zittende vrouw met kind in een tuin in Nederlands-Indië,unresolved-only,Nederlands-Indië,Nederlands-Indië,unresolved,
RP-F-F01203-AU,Vrouw met parasol en kind in een tuin in Nederlands-Indië,unresolved-only,Nederlands-Indië,Nederlands-Indië,unresolved,
RP-F-F01203-AV,Gezelschap aan boord van stoomschip 'Prins Willem III',no-geo-details,,,,
RP-F-F01203-AW,Gezelschap aan boord van stoomschip 'Prins Willem III',no-geo-details,,,,
RP-F-F01203-AX,"Mannen, vrouwen en een kind bij een houten trap, twee mogelijk verkleed in oosterse gewaden",no-geo-details,,,,
RP-F-F01203-BB,"Europese vrouw en (vermoedelijk) Surinaamse man, musicerend met snaarinstrumenten op plantage ''t Vertrouwen'",thesaurus-no-coords,Plantage 't Vertrouwen,Plantage 't Vertrouwen,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-BC,Kat in een mand,no-geo-details,,,,
RP-F-F01203-BD,Kat in een mand,no-geo-details,,,,
RP-F-F01203-BE,Vrouw houdt kat in een mand vast,no-geo-details,,,,
RP-F-F01203-BG,Groepsportret van jonge vrouwen in een ruimte met beeldhouwwerken,no-geo-details,,,,
RP-F-F01203-BH,Gezelschap picknickend op de hei bij Amersfoort,unresolved-only,Amersfoort,Amersfoort,unresolved,
RP-F-F01203-BI,Gezelschap picknickend op de hei bij Amersfoort,unresolved-only,Amersfoort,Amersfoort,unresolved,
RP-F-F01203-BL,Twee vrouwen met hoeden picknickend op de hei bij Amersfoort,unresolved-only,Amersfoort,Amersfoort,unresolved,
RP-F-F01203-BN,Laan naar het Monte Palace Hotel op Madeira,unresolved-only,Madeira,Madeira,unresolved,
RP-F-F01203-BO,Gezelschap bij toesledes (sleepkoetsen) op Madeira,unresolved-only,Madeira,Madeira,unresolved,
RP-F-F01203-BP,Vrouw wandelend langs de kust op Madeira,unresolved-only,Madeira,Madeira,unresolved,
RP-F-F01203-BQ,Man en vrouw tussen de duiven op het San Marcoplein in Venetië,unresolved-only,San Marcoplein,San Marcoplein,unresolved,
RP-F-F01203-BR,Gezelschap waaronder geestelijken aan boord van de 'Prins der Nederlanden',no-geo-details,,,,
RP-F-F01203-BS,Man en vrouw in zeilboot 'Argonaut' aan een steiger te Aalsmeer,unresolved-only,Aalsmeer,Aalsmeer,unresolved,
RP-F-F01203-BT,Man en vrouw onder de Eiffeltoren te Parijs,unresolved-only,Eiffeltoren,Eiffeltoren,unresolved,
RP-F-F01203-BX,"Vrouw met hoed op het strand, vermoedelijk in Nederland",unresolved-only,Nederland,Nederland,unresolved,
RP-F-F01203-CA,Portret van een (vermoedelijk) Nederlandse vrouw met een hoed,no-geo-details,,,,
RP-F-F01203-CB,Portret van een (vermoedelijk) Nederlandse vrouw met een hoed,no-geo-details,,,,
RP-F-F01203-CI,"Gezelschap aan een gedekte tafel bij een feestelijke gelegenheid, mogelijk in Nederland",no-geo-details,,,,
RP-F-F01203-CJ,"Gezelschap aan een gedekte tafel bij een feestelijke gelegenheid, mogelijk in Nederland",no-geo-details,,,,
RP-F-F01203-CK,"Vrouw met kat in haar armen, mogelijk in Paramaribo (uitgeknipt)",no-geo-details,,,,
RP-F-F01203-CL,"Gezelschap in een woonkamer, mogelijk in Nederland",unresolved-only,Nederland,Nederland,unresolved,
RP-F-F01203-CN,Vrouw voert de kippen op plantage ''t Vertrouwen' in Suriname,thesaurus-no-coords,Plantage 't Vertrouwen,Plantage 't Vertrouwen,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-CO,Vrouw voert de kippen op plantage ''t Vertrouwen' in Suriname,thesaurus-no-coords,Plantage 't Vertrouwen,Plantage 't Vertrouwen,thesaurus,Suriname (Zuid-Amerika)
RP-F-F01203-CR,"Portret van een jonge vrouw in een baljurk, en profil",no-geo-details,,,,
