prioriteit,probleem_bucket,term,occurrences,sample_objectnummers,suggested_action
1,thesaurus-no-coords,Mariënburg (Suriname),24,RP-F-2011-75-85 | RP-F-2011-75-86 | RP-F-2016-47-10 | RP-F-2016-47-11 | RP-F-2016-47-12,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
2,thesaurus-no-coords,Waterkant,13,NG-2013-22-23 | NG-2022-1-2-2238 | NG-2022-1-2-2241 | NG-2022-1-2-2245 | NG-2022-1-2-2265,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
3,thesaurus-no-coords,Gouvernementsplein,12,NG-1994-32-15-1 | NG-1994-32-26 | NG-2013-22-24-10 | NG-2013-22-24-11 | NG-2013-22-24-6,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
4,thesaurus-no-coords,Plantage Mariënburg,11,NG-2011-18-28-3 | NG-2011-18-28-60 | NG-2013-22-4-1 | NG-2013-22-4-2 | NG-2015-4-8,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
5,thesaurus-no-coords,Pikin Slee,10,RP-F-2013-91-1 | RP-F-2013-91-10 | RP-F-2013-91-2 | RP-F-2013-91-3 | RP-F-2013-91-4,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
6,thesaurus-no-coords,Stoelmanseiland,10,RP-F-2009-221 | RP-F-2016-47-17 | RP-F-2016-47-34 | RP-F-2016-47-35 | RP-F-2016-47-37,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
7,thesaurus-no-coords,Gouvernementspaleis,7,NG-2008-37-63 | NG-2009-36-10 | NG-2009-36-11 | RP-F-1994-16-22 | RP-F-2009-282-3,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
8,thesaurus-no-coords,Heerenstraat (Paramaribo),5,NG-2022-1-11-5 | NG-2022-1-3-10 | NG-2022-1-3-3 | NG-2022-1-3-5 | RP-F-2009-282-20,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
9,thesaurus-no-coords,Heiligenweg,5,NG-1994-32-14-1 | NG-1994-32-14-2 | NG-2022-1-2-2257 | NG-2025-20-10 | NG-2025-20-8,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
10,thesaurus-no-coords,Paranam,5,NG-2022-1-11-25 | NG-2022-1-11-26 | NG-2022-1-11-27 | RP-F-BR-2011-1-187 | RP-F-BR-2011-1-222,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
11,thesaurus-no-coords,Koeliedepot,4,RP-F-2009-282-33-1 | RP-F-2009-282-33-2 | RP-F-2009-282-34-1 | RP-F-2009-282-34-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
12,thesaurus-no-coords,Kwatta (plantage),4,NG-2022-1-11-22 | RP-F-2009-282-40 | RP-F-2009-282-41-1 | RP-F-2009-282-41-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
13,thesaurus-no-coords,Nieuw-Aurora,4,NG-2016-53-25 | NG-2016-53-26 | NG-2016-53-27 | NG-2016-53-28,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
14,thesaurus-no-coords,Frimangron,3,NG-2016-53-30 | RP-F-BR-2011-1-1 | RP-F-BR-2011-1-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
15,thesaurus-no-coords,Grote Combéweg,3,NG-1994-32-15-2 | RP-F-1994-16-21 | RP-F-F01154-AL,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
16,thesaurus-no-coords,Maäbo Heuvel,3,RP-F-2016-145 | RP-F-F01203-G | RP-F-F01203-H,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
17,thesaurus-no-coords,Onoribo,3,RP-F-2009-282-52-1 | RP-F-2009-282-52-2 | RP-F-2009-282-53,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
18,thesaurus-no-coords,Plantage 't Vertrouwen,3,RP-F-F01203-BB | RP-F-F01203-CN | RP-F-F01203-CO,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
19,thesaurus-no-coords,Plantage La Liberté,3,RP-F-F01203-O | RP-F-F01203-Q | RP-F-F01203-R,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
20,thesaurus-no-coords,Plantage Morgenstond,3,NG-2009-126-10 | NG-2009-126-11 | NG-2009-126-13,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
21,thesaurus-no-coords,Vaillantsplein,3,NG-2022-1-3-7 | RP-F-F01203-CU | RP-F-F01203-CY,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
22,thesaurus-no-coords,Brownsweg,2,RP-F-BR-2011-1-156 | RP-F-BR-2011-1-157,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
23,thesaurus-no-coords,Corneliskondre,2,NG-2022-1-10-19 | NG-2022-1-12-17,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
24,thesaurus-no-coords,Ganzee,2,NG-2022-1-12-18 | NG-2022-1-12-8,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
25,thesaurus-no-coords,Gran Rio,2,RP-P-2017-7127-392-8 | RP-P-2017-7127-392-9,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
26,thesaurus-no-coords,Grote Stadskerk,2,NG-2022-1-2-2225 | NG-2025-20-13,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
27,thesaurus-no-coords,Het Park,2,NG-1994-32-21 | NG-1994-32-31,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
28,thesaurus-no-coords,Hof van Justitie,2,NG-2022-31-31 | NG-2025-20-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
29,thesaurus-no-coords,Keizerstraat,2,NG-2022-1-3-6 | NG-2025-20-9,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
30,thesaurus-no-coords,Klaaskreek,2,RP-F-BR-2011-1-154 | RP-F-BR-2011-1-155,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
31,thesaurus-no-coords,Knuffelsgracht,2,NG-1994-32-22-1 | NG-1994-32-22-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
32,thesaurus-no-coords,Nieuwe Oranjetuin (begraafplaats),2,NG-2022-31-32 | NG-2025-20-17,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
33,thesaurus-no-coords,Onafhankelijkheidsplein,2,NG-2010-11 | NG-2011-18-28-30,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
34,thesaurus-no-coords,Oranjeplein (Paramaribo),2,NG-2011-18-28-23 | NG-2011-18-28-35,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
