value,category,source_type,occurrences,suggested_action,latitude,longitude,sample_objectnummers,notes
Q110559886,other-location,ef_review_locatie,47,wikidata-resolve-naar-coordinaten,,,NG-1994-65-3-23-1 | NG-1994-65-3-24-1 | NG-1994-65-3-31 | NG-1994-65-3-49-1 | NG-1994-65-3-49-2,
Q139323507,other-location,ef_review_locatie,47,wikidata-resolve-naar-coordinaten,,,NG-2009-131-21 | RP-F-F01203-F | RP-F-F01203-G | RP-F-F01203-H | NG-2009-132-41,
Q2794939,other-location,ef_review_locatie,36,wikidata-resolve-naar-coordinaten,,,NG-2009-130-3 | RP-F-2009-282-10-2 | RP-F-2009-282-15 | RP-F-2009-282-21 | RP-F-2009-282-22-1,
Q847680,other-location,ef_review_locatie,32,wikidata-resolve-naar-coordinaten,,,NG-1994-65-1-24-3 | NG-1994-65-1-23-3 | NG-1994-65-2-10-4 | NG-1994-65-2-9-4 | NG-1994-65-3-1-5,
suriname,other-location,ef_review_locatie,32,beslis-brede-locatie-punt-of-toggle,,,BI-B-FM-141-46 | BI-B-FM-141-47 | BI-B-FM-141-48 | RP-P-OB-90.288 | NG-2016-18,
Suriname,other-location,ef_review_locatie,32,beslis-brede-locatie-punt-of-toggle,,,RP-P-OB-65.081 | NG-2018-576 | RP-P-1938-1112 | RP-F-F18711 | NG-501-93,
Q139391841,other-location,ef_review_locatie,30,wikidata-resolve-naar-coordinaten,,,RP-F-2009-206 | RP-F-BR-2011-1-16 | RP-F-BR-2011-1-17 | RP-F-BR-2011-1-18 | RP-F-BR-2011-1-19,
Q5612331,other-location,ef_review_locatie,20,wikidata-resolve-naar-coordinaten,,,NG-2009-131 | NG-2009-132-18 | NG-2009-132-32 | NG-2009-132-37 | NG-2009-132-40,
placer De Jong,other-location,remark-hint,18,zoek-match-op-naam-in-stm-of-wikidata,,,NG-1994-65-3-44-1 | NG-1994-65-3-43-1 | NG-1994-65-5-8-1 | NG-1994-65-5-7-1 | NG-1994-65-5-36-1,
Q15868275,other-location,ef_review_locatie,17,wikidata-resolve-naar-coordinaten,,,NG-2009-36-27 | NG-1994-65-5-17-2 | NG-1994-65-5-20-2 | NG-1994-65-5-19-2 | NG-1994-65-5-50-5,
Q2033540,other-location,ef_review_locatie,17,wikidata-resolve-naar-coordinaten,,,RP-T-1895-A-3085 | NG-2016-53-31 | NG-412 | NG-2009-130-6 | NG-2010-11,
paramaribo,other-location,ef_review_locatie,12,beslis-brede-locatie-punt-of-toggle,,,NG-2008-15 | NG-2009-132-7 | NG-1994-65-1-50-4 | NG-2009-129-2-1 | RP-F-BR-2011-1-159,
Q2512080,other-location,ef_review_locatie,11,wikidata-resolve-naar-coordinaten,,,NG-2009-94-26-2 | RP-P-1974-99 | NG-1064-4 | RP-P-2017-1650 | RP-P-1911-322,
Q116051425,other-location,ef_review_locatie,9,wikidata-resolve-naar-coordinaten,,,RP-F-F01203-CU | RP-F-F01203-CY | NG-1994-65-1-9-3 | NG-1994-65-1-10-3 | NG-1994-65-1-44-2,
stm-00007,other-location,ef_review_locatie,9,haal-coordinaten-uit-stm-gazetteer,,,SK-A-4075 | NG-1994-65-1-24-1 | NG-1994-65-1-23-1 | NG-1994-65-2-12-2 | NG-1994-65-2-11-2,
preferred,other-location,ef_review_locatie,8,negeren-workflowwaarde,,,NG-2009-125-11 | NG-2016-50-42 | NG-2016-50-58 | NG-2015-4-1-37 | NG-2015-4-1-41,
Q2196027,other-location,ef_review_locatie,8,wikidata-resolve-naar-coordinaten,,,NG-2015-4-1-52 | NG-2017-99 | NG-1994-65-3-33 | NG-2015-4-1-8 | NG-2015-4-1-9,
Q110189317,other-location,ef_review_locatie,7,wikidata-resolve-naar-coordinaten,,,NG-1994-65-5-38-3 | NG-1994-65-5-37-3 | NG-1994-65-5-40-4 | NG-1994-65-5-39-4 | NG-1994-65-5-46-3,
stm-new-1776182225443,other-location,ef_review_locatie,7,vervang-met-definitieve-stm-id,,,NG-2009-131-3 | NG-1994-65-1-16-3 | NG-1994-65-1-15-3 | NG-1994-65-3-23-4 | NG-1994-65-3-25-5,
stm-new-1776691745741,other-location,ef_review_locatie,7,vervang-met-definitieve-stm-id,,,RP-F-F01203-S | RP-F-F01203-T | RP-F-F01203-U | RP-F-F01203-W | RP-F-F01203-X,
stm-02314,other-location,ef_review_locatie,6,haal-coordinaten-uit-stm-gazetteer,,,NG-NM-140 | NG-NM-141,
gouverneurskamp,other-location,remark-hint,5,zoek-match-op-naam-in-stm-of-wikidata,,,NG-1994-65-4-47-1 | NG-1994-65-4-47-2 | NG-1994-65-4-48-1 | NG-1994-65-4-48-2 | NG-1994-65-5-1-1,
