objectnummer,titel,geografisch_trefwoord,qid
SK-A-1671,"Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname",Suriname (Zuid-Amerika),
SK-A-2630,Portret van een man,Suriname (Zuid-Amerika),
SK-A-2634,Portret van een vrouw,Suriname (Zuid-Amerika),
SK-A-2635,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),
SK-A-2637,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),
SK-A-2641,Portret van Surinaams meisje,Suriname (Zuid-Amerika),
SK-A-2252,Johan François Adriaan Cateau van Rosevelt (1823-91). Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname,Suriname (Zuid-Amerika),
SK-A-4060,"Portret van Joan Jacob Mauricius, gouverneur van Suriname, dichter en toneelminnaar$Portret van Joan Jacob Mauricius, gouverneur-generaal van Suriname, dichter en toneelminnaar",Suriname (Zuid-Amerika),
SK-A-4075,Surinaams landschap met een plantage van Jonas Witsen$Plantage in Suriname,Suriname (Zuid-Amerika),
SK-A-4153,Daniel Francis Schas (1772-1848). Van 1814 tot 1820 lid van de Raad van de koophandel en koloniën,Suriname (Zuid-Amerika),
SK-A-4481,De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo,Paramaribo (stad),
SK-A-4087,Gezicht op de koffieplantage Marienbosch in Suriname$Gezicht op de koffieplantage 'Meerzorg' aan het Taparoepikanaal in Suriname?,Suriname (Zuid-Amerika)$Plantage Mariënbosch$Plantage Meerzorg,
RP-P-1992-358,Voor het volkskind - Suriname,Suriname (Zuid-Amerika),
RP-P-1950-280,Portret van Johan Raye van Breukelerwaard,,
RP-P-1910-1539,Portret van Johan Raye van Breukelerwaard,,
RP-T-1905-103,Gezicht op de molen en het kookhuis van plantage Waterland in Suriname$Gezicht op molen en kookhuis op een plantage te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Suriname (Zuid-Amerika),
RP-T-1905-104,Gezicht op het woonhuis en een schuur op plantage Surimombo in Suriname$Gezicht op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Plantage Surimombo$Suriname (Zuid-Amerika),
RP-T-1905-105,Gezicht op drie gebouwen op plantage Surimombo in Suriname$Gezicht op drie huizen op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Plantage Surimombo$Suriname (Zuid-Amerika),
RP-T-1905-106,Sluis op de plantage Palmeneribo in Suriname$Sluis op de plantage Palmeniribo te Suriname$Een Sluijs op Palmeniribo$Gezichten op de plantages Surimonbo en Palmeniribo,Suriname (Zuid-Amerika)$Plantage Palmeneribo,
RP-T-1905-107,Gezicht op suikerplantage Palmeneribo in Suriname$Rij huizen op de plantage Palmeniribo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Suriname (Zuid-Amerika)$Plantage Palmeneribo,
RP-T-1905-108,Gezicht op suikerplantage Surimombo in Suriname$Woonhuis en een schuur op de plantage Surimonbo te Suriname$Gezichten op de plantages Surimonbo en Palmeniribo,Plantage Surimombo$Suriname (Zuid-Amerika),
NG-VG-1-2604,"Overlijden van Theodorus Knöffel, stichter van de plantage Elisabeths Hoop in Suriname; penning geslagen op last van zijn broer P.L. Knöffel",Commewijne$Plantage Elisabethshoop,
NG-VG-1-3990,"Matroos P.C. Bakker, wegens het redden van een drenkeling uit de Suriname-rivier, ter ere van Willem III, koning der Nederlanden",Surinamerivier,
NG-NM-8969,"Erepenning voor George, een tot slaaf gemaakte man op de plantage Leasowes$Erepenning voor George, slaaf van de plantage Leasowes",Nickerie$Coronie$Plantage Leasowes,
RP-P-1938-1112,Surinamers en Hollanders drinken thee,,
RP-P-1909-1779,Gezicht op Post Gelderland en Joden Savannah$Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),
RP-P-1911-322,Gezicht op de waterkant en reede van Paramaribo$Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),
RP-P-1911-321,Gouvernementshuis en plein te Paramaribo$Gezigten uit Neerland's West-Indien,Paramaribo (stad),
RP-P-1909-1780,Gezicht op de synagoge en het kerkhof vanaf het Cordonpad gezien$Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),
RP-P-1904-3844,Kankantri boom,Suriname (Zuid-Amerika),
RP-P-OB-65.081,Portret van Joan Jacob Mauricius,,
RP-P-1911-313,Gezicht op Paramaribo,Paramaribo (stad),
RP-P-1931-1685,Oude huizen en water aan het Surinameplein te Amsterdam$Surinameplein,Amsterdam,
NG-NM-140,Fort Leyden (Suriname)$Twee maquettes van het Fort Leyden,Suriname (Zuid-Amerika)$Commewijne$Fort Leyden,
NG-NM-141,Fort Leyden (Suriname)$Twee maquettes van het Fort Leyden,Suriname (Zuid-Amerika)$Commewijne$Fort Leyden,
