street_label;aliases;street_wikidata_qid;variant_count;matched_variant_count;missing_variant_count;matched_variants;missing_variants;matched_thesaurus_term;matched_label;broader_term;thesaurus_wikidata;coverage
1e Zijstraat (van de Anniestraat);;;1;0;1;;1e Zijstraat (van de Anniestraat);;;;;missing
2e Zijstraat (van de Anniestraat);;;1;0;1;;2e Zijstraat (van de Anniestraat);;;;;missing
3e Zijstraat (van de Anniestraat);;;1;0;1;;3e Zijstraat (van de Anniestraat);;;;;missing
4e Zijstraat (van de Anniestraat);;;1;0;1;;4e Zijstraat (van de Anniestraat);;;;;missing
5e Zijstraat (van de Anniestraat);;;1;0;1;;5e Zijstraat (van de Anniestraat);;;;;missing
A.L. Waaldijkstraat;;;1;0;1;;A.L. Waaldijkstraat;;;;;missing
Achtersteeg;;;1;0;1;;Achtersteeg;;;;;missing
Adrianusstraat;;;1;0;1;;Adrianusstraat;;;;;missing
Afi Jabastraat;;;1;0;1;;Afi Jabastraat;;;;;missing
Alexanderstraat;;;1;0;1;;Alexanderstraat;;;;;missing
Anniestraat;;;1;0;1;;Anniestraat;;;;;missing
Anton de Komstraat;;Q56479264;1;0;1;;Anton de Komstraat;;;;;missing
Anton Dragtenweg;;Q107435500;1;0;1;;Anton Dragtenweg;;;;;missing
Bamboeslaan;Bamboelaan;;2;0;2;;Bamboeslaan | Bamboelaan;;;;;missing
Beethovenstraat;;;1;0;1;;Beethovenstraat;;;;;missing
Bernhardstraat;;;1;0;1;;Bernhardstraat;;;;;missing
Beter Wonenstraat;;;1;0;1;;Beter Wonenstraat;;;;;missing
Brandplein;;;1;0;1;;Brandplein;;;;;missing
Burenstraat;Buurestraat;Q107435481;2;1;1;Burenstraat;Buurestraat;Burenstraat;Burenstraat;Paramaribo (stad);http://www.wikidata.org/entity/Q107435481;partial
Casuarinalaan;;;1;0;1;;Casuarinalaan;;;;;missing
Catostraat;;;1;0;1;;Catostraat;;;;;missing
Celinestraat;Celinastraat;;2;0;2;;Celinestraat | Celinastraat;;;;;missing
Commissarisstraat;;;1;0;1;;Commissarisstraat;;;;;missing
Compagniestraat;Oude Keizerstraat;;2;0;2;;Compagniestraat | Oude Keizerstraat;;;;;missing
Corneliastraat;;;1;0;1;;Corneliastraat;;;;;missing
Cornelis Graanoogststraat;;;1;0;1;;Cornelis Graanoogststraat;;;;;missing
Cornelis Jongbawstraat;;;1;0;1;;Cornelis Jongbawstraat;;;;;missing
Cornelisstraat;;;1;0;1;;Cornelisstraat;;;;;missing
Costerstraat;;Q107435495;1;0;1;;Costerstraat;;;;;missing
Crommelinstraat;Crommelingstraat | Krommelingstraat;;3;0;3;;Crommelinstraat | Crommelingstraat | Krommelingstraat;;;;;missing
Cultuurtuinlaan;;;1;0;1;;Cultuurtuinlaan;;;;;missing
Derde Dwarsstraat;;;1;0;1;;Derde Dwarsstraat;;;;;missing
Dinastraat;;;1;0;1;;Dinastraat;;;;;missing
Domineestraat;Dominiestraat;Q56707270;2;0;2;;Domineestraat | Dominiestraat;;;;;missing
Doreenstraat;;;1;0;1;;Doreenstraat;;;;;missing
Dr. Eug�ne Albert Gesselstraat;;;1;0;1;;Dr. Eug�ne Albert Gesselstraat;;;;;missing
dr. J.F. Nassylaan;;Q107435478;1;0;1;;dr. J.F. Nassylaan;;;;;missing
Dr. Sophie Redmondstraat;;Q107435482;1;1;0;Dr. Sophie Redmondstraat;;Steenbakkersgracht;Dr. Sophie Redmondstraat;Paramaribo (stad);http://www.wikidata.org/entity/Q107435482;covered
Drambrandersgracht;Drambranderij Creecq | Dominee Creecq | Straat aan de Drambrandersgracht;;4;1;3;Drambrandersgracht;Drambranderij Creecq | Dominee Creecq | Straat aan de Drambrandersgracht;Drambrandersgracht;Drambrandersgracht;Paramaribo (stad);http://www.wikidata.org/entity/Q110189219;partial
Dwarskerkhofstraat;;;1;0;1;;Dwarskerkhofstraat;;;;;missing
Eerste Dwarsstraat;;;1;0;1;;Eerste Dwarsstraat;;;;;missing
Eerste Rijweg;Nieuwe Rijweg;;2;0;2;;Eerste Rijweg | Nieuwe Rijweg;;;;;missing
Emmastraat;;;1;0;1;;Emmastraat;;;;;missing
Fransstraat;;;1;0;1;;Fransstraat;;;;;missing
Fredericigracht;Fridericisgracht;;2;0;2;;Fredericigracht | Fridericisgracht;;;;;missing
Fredericistraat;Fridericistraat;;2;0;2;;Fredericistraat | Fridericistraat;;;;;missing
Frederik Derbystraat;;;1;0;1;;Frederik Derbystraat;;;;;missing
Frederikalaan;;;1;0;1;;Frederikalaan;;;;;missing
