item;itemLabel;coords
Q24224;Wageningen;Point(-56.686388888 5.768888888)
Q183494;Johan Adolf Pengel International Airport;Point(-55.187783333 5.452830555)
Q635545;Surinamerivier;Point(-55.159122222 5.818144444)
Q635545;Surinamerivier;Point(-55.170994 5.92505)
Q648787;Jodensavanne;Point(-54.952979323 5.413277023)
Q819296;Berg en Dal;Point(-55.067222222 5.139166666)
Q847680;Brokopondo;Point(-55.129444444 4.7725)
Q908006;MariÃ«nburg;Point(-55.048055555 5.873611111)
Q908006;MariÃ«nburg;Point(-55.048055555 5.873611111)
Q908006;MariÃ«nburg;Point(-55.048055555 5.873611111)
Q908006;MariÃ«nburg;Point(-55.048055555 5.873611111)
Q1090505;Cottica;Point(-54.866666666 5.866666666)
Q1131396;Coppename;Point(-56.5307 4.3938)
Q1131396;Coppename;Point(-55.9167 5.8)
Q1131396;Coppename;Point(-55.916666666 5.8)
Q1757533;Groot Henar;Point(-56.886944444 5.857222222)
Q1877905;Memre Boekoe-kazerne;Point(-55.17827 5.82668)
Q2033540;Onafhankelijkheidsplein;Point(-55.15152 5.82623)
Q2042290;MariÃ«nbosch;Point(-55.018857157 5.880628678)
Q2167056;Saramacca;Point(-56.0807 3.7834)
Q2167056;Saramacca;Point(-55.9331 5.8315)
Q2167056;Saramacca;Point(-55.883333333 5.85)
Q2196027;Presidentieel paleis van de Republiek Suriname;Point(-55.15127222 5.82681389)
Q2220000;Palmentuin;Point(-55.15 5.828055555)
Q2301123;Cultuurtuin;Point(-55.159519444 5.847275)
Q2418540;Drietabbetje;Point(-54.676111111 4.113888888)
Q2458576;Kong Ngie Tong Sang;Point(-55.161944 5.824167)
Q2488071;Synagoge Neve Shalom;Point(-55.159222222 5.828388888)
Q2512080;Waterkant;Point(-55.153114 5.825231)
Q2736107;Sint-Petrus-en-Pauluskathedraal;Point(-55.154092 5.828681)
Q2782195;Langatabbetje;Point(-54.441666666 4.991666666)
Q2794939;Henck Arronstraat;Point(-55.16185 5.83236)
Q4334911;Cottica;5°52'N, 54°52'W
Q5612331;Lawaspoorweg;Point(-55.195263 5.592875)
Q13457818;Catharina Sophia;Point(-55.569091325 5.84549725)
Q15868275;'s Lands Hospitaal;Point(-55.156352777 5.830591666)
Q15873942;Clevia;Point(-55.109231723 5.870336608)
Q23960241;Sarakreek;Point(-54.9241 4.43497)
Q35294358;Sommelsdijkse Kreek;Point(-55.151388888 5.829722222)
Q56537564;Waag;Point(-55.15425 5.825028)
Q56707270;Domineestraat;Point(-55.1597837 5.8265138)
Q57340919;Zwartenhovenbrugstraat;Point(-55.1631842 5.8243369)
Q57340919;Zwartenhovenbrugstraat;Point(-55.1631842 5.8243369)
Q57340919;Zwartenhovenbrugstraat;Point(-55.1631842 5.8243369)
Q57340919;Zwartenhovenbrugstraat;Point(-55.1631842 5.8243369)
Q59115340;Burnside;Point(-56.409722222 5.900555555)
Q59115735;Johanna Catharina;Point(-55.473703912 5.857946759)
Q59116940;Leasowes;Point(-56.385277777 5.896666666)
Q59116958;Libanon;"5°50'42.38056""N, 54°34'27.68624""W"
Q59133831;Siparipabo;"5°46'36.31768""N, 54°46'35.29405""W"
Q59134182;Zeezigt;Point(-54.692822295 5.960973661)
Q74209503;Annette's hof;Point(-55.197823 5.8147583)
Q77850298;Nieuw Aurora;Point(-55.400555555 4.373888888)
Q78798832;Nikie;Point(-54.492222222 4.272222222)
Q83756034;Pikin Slee;Point(-55.443888888 4.253333333)
Q96781860;Frimangron;Point(-55.166796868 5.824930995)
Q107028981;Coppenamepunt;Point(-55.900833333 5.800833333)
Q107435476;Steenbakkerijstraat;Point(-55.1605978 5.8252982)
