

recordnummer,objectnummer,PID_overige.URI,wikidata_url,wikimedia_url
6145,SK-A-2417,http://hdl.handle.net/10934/RM0001.COLLECT.6145,http://www.wikidata.org/entity/Q17329499,"https://commons.wikimedia.org/wiki/File:François_de_Vicq_(1646-1707),_sedert_1697_herhaaldelijk_burgemeester_van_Amsterdam,_SK-A-2417.jpg"
7462,SK-A-1671,http://hdl.handle.net/10934/RM0001.COLLECT.7462,http://www.wikidata.org/entity/Q17324451,"https://commons.wikimedia.org/wiki/File:Cornelis_van_Aerssen_(1637-88),_heer_van_Sommelsdijk._Sedert_1683_gouverneur_van_Suriname,_SK-A-1671.jpg"
7886,SK-A-2630,http://hdl.handle.net/10934/RM0001.COLLECT.7886,http://www.wikidata.org/entity/Q17330247,
7890,SK-A-2634,http://hdl.handle.net/10934/RM0001.COLLECT.7890,http://www.wikidata.org/entity/Q17330262,
7891,SK-A-2635,http://hdl.handle.net/10934/RM0001.COLLECT.7891,http://www.wikidata.org/entity/Q17330265,
7893,SK-A-2637,http://hdl.handle.net/10934/RM0001.COLLECT.7893,http://www.wikidata.org/entity/Q17330272,
7897,SK-A-2641,http://hdl.handle.net/10934/RM0001.COLLECT.7897,http://www.wikidata.org/entity/Q17330281,
7901,SK-A-2645,http://hdl.handle.net/10934/RM0001.COLLECT.7901,http://www.wikidata.org/entity/Q17330298,
8933,SK-A-2252,http://hdl.handle.net/10934/RM0001.COLLECT.8933,,
9511,SK-A-3063,http://hdl.handle.net/10934/RM0001.COLLECT.9511,http://www.wikidata.org/entity/Q17331511,"https://commons.wikimedia.org/wiki/File:Suzanna_de_Roth_(1789-1822),_echtgenote_van_Jonkheer_Isaäc_Pierre_Graafland_(1789-1825),_raadsheer_in_het_hooggerechtsh,_SK-A-3063.jpg"
10084,SK-A-4060,http://hdl.handle.net/10934/RM0001.COLLECT.10084,http://www.wikidata.org/entity/Q17336133,
10090,SK-A-4075,http://hdl.handle.net/10934/RM0001.COLLECT.10090,http://www.wikidata.org/entity/Q17336236,
10129,SK-A-4153,http://hdl.handle.net/10934/RM0001.COLLECT.10129,http://www.wikidata.org/entity/Q17338294,https://commons.wikimedia.org/wiki/File:S-K-A-4153_Daniel_Francis_Schas_(1772-1848).jpg
10374,SK-A-4481,http://hdl.handle.net/10934/RM0001.COLLECT.10374,http://www.wikidata.org/entity/Q17339893,"https://commons.wikimedia.org/wiki/File:De_begrafenis_van_pastoor_Joannes_Vitus_Janssen_(1803-43)_in_Paramaribo,_SK-A-4481.jpg"
12038,SK-A-4087,http://hdl.handle.net/10934/RM0001.COLLECT.12038,http://www.wikidata.org/entity/Q17337896,"https://commons.wikimedia.org/wiki/File:Gezicht_op_de_koffieplantage_Marienbosch_in_Suriname,_SK-A-4087.jpg"
27541,RP-P-1992-358,http://hdl.handle.net/10934/RM0001.COLLECT.27541,,
47109,RP-P-1950-280,http://hdl.handle.net/10934/RM0001.COLLECT.47109,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Raye_van_Breukelerwaard,_RP-P-1950-280.jpg"
47110,RP-P-1910-1539,http://hdl.handle.net/10934/RM0001.COLLECT.47110,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johan_Raye_van_Breukelerwaard,_RP-P-1910-1539.jpg"
56044,RP-T-1977-16,http://hdl.handle.net/10934/RM0001.COLLECT.56044,,https://commons.wikimedia.org/wiki/File:Scarlet_Ibis_with_an_Egg.jpeg
60931,RP-T-1905-103,http://hdl.handle.net/10934/RM0001.COLLECT.60931,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_molen_en_kookhuis_op_een_plantage_te_Suriname_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-103.jpg"
60932,RP-T-1905-104,http://hdl.handle.net/10934/RM0001.COLLECT.60932,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_de_plantage_Surimonbo_te_Suriname_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-104.jpg"
60934,RP-T-1905-105,http://hdl.handle.net/10934/RM0001.COLLECT.60934,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_drie_huizen_op_de_plantage_Surimonbo_te_Suriname_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-105.jpg"
60935,RP-T-1905-106,http://hdl.handle.net/10934/RM0001.COLLECT.60935,,"https://commons.wikimedia.org/wiki/File:Sluis_op_de_plantage_Palmeniribo_te_Suriname_Een_Sluijs_op_Palmeniribo_(titel_op_object)_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-106.jpg"
60937,RP-T-1905-107,http://hdl.handle.net/10934/RM0001.COLLECT.60937,,"https://commons.wikimedia.org/wiki/File:Rij_huizen_op_de_plantage_Palmeniribo_te_Suriname_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-107.jpg"
60938,RP-T-1905-108,http://hdl.handle.net/10934/RM0001.COLLECT.60938,,"https://commons.wikimedia.org/wiki/File:Woonhuis_en_een_schuur_op_de_plantage_Surimonbo_te_Suriname_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-108.jpg"
62052,NG-VG-1-2604,http://hdl.handle.net/10934/RM0001.COLLECT.62052,,"https://commons.wikimedia.org/wiki/File:Overlijden_van_Theodorus_Knoeffel,_stichter_van_de_plantage_Elisabeth's_Hoop_in_Suriname_penning_geslagen_op_last_van_zijn_broer_P.L._Knoeffel,_NG-VG-1-2604.jpg"
