TempID;p131;Label;p31;description@nl;description@en;alias1;alias2;alias3;alias4;alias5;wikidataID;earliestBeginTimeStamp;LatestBeginTimeStamp;point_in_time;EarliestEndTimeStamp;LatestEndTimeStamp;mentioned_at_url;stated_in
206;Q3001;Kort Aasemstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;Kort Asemstraat;;;;;;;1737;;1737;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
208;Q3001;Kerkstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1737;;1737;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
212;Q3001;Makkastraat;Q79007;Verdwenen straat in Paramaribo. Vanaf de Rust-en-Vredestraat westwaarts naar de Nepveustraat, later EBG kerkhof;Street in Paramaribo;;;;;;;;1772;;1772;;https://drive.google.com/file/d/0B88mZFitv8emNm1DZnRaZW1sR28/view?usp=drive_link&resourcekey=0-mmh-4y0Awsjf_rdR7joFig;Q138025817
114;Q3001;Noordhoekstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1782;;1782;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
118;Q3001;Oranjetuin;Q79007;Straat in Paramaribo;Street in Paramaribo;Oude Oranjetuin;;;;;;;1782;;1782;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
203;Q3001;Grote Kerkstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;Groote Kerkstraat;Hoge Kerkstraat;;;;;;1782;;1782;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
201;Q3001;Wichersgracht;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1796;;1796;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
229;Q3001;Viottebrugstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;Fiottebrugstraat;;;;;;;1830;;1830;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
26;Q3001;Dwarskerkhofstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1837;;1837;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
31;Q3001;Fredericigracht;Q79007;Straat in Paramaribo;Street in Paramaribo;Fridericisgracht;;;;;;;1837;;1837;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
43;Q3001;Grote Rijweg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1837;;1837;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
195;Q3001;Vierde Dwarsstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1796;;1857;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
227;Q3001;Plein van 12 mei 1874;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1874;;1874;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
2;Q3001;Achtersteeg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1837;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
44;Q3001;Grote Waterstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;Waterkant op Combé;Groote Waterstraat;;;;;;1837;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
105;Q3001;Nassaulaan;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1874;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
106;Q3001;Nassaustraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1873;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
122;Q3001;Oude laan van Charlesburg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1885;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
123;Q3001;Pad van Wanica;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1837;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
134;Q3001;Rijweg naar Kwatta;Q79007;Straat in Paramaribo;Street in Paramaribo;Wageweg;Grote Rijweg naar Kwatta;;;;;;1837;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
181;Q3001;Weg naar Zee;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1885;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
182;Q3001;Weg van Charlesburg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1885;;1885;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
76;Q3001;Korte Dwarsstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1887;;1887;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
107;Q3001;Nepveugracht;Q79007;Straat in Paramaribo;Street in Paramaribo;Nepveusgracht;Straat langs de Nepveugracht;;;;;;1796;;1887;1905;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
223;Q3001;Brandplein;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1821;;1887;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
194;Q3001;Bamboeslaan;Q79007;Straat in Paramaribo;Street in Paramaribo;Bamboelaan;;;;;;;1857;;1911;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
19;Q3001;Derde Dwarsstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1796;;1916;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
27;Q3001;Eerste Dwarsstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1796;;1916;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
156;Q3001;Tweede Dwarsstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1796;;1916;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
8;Q3001;Beethovenstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
11;Q3001;Casuarinalaan;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
18;Q3001;Cultuurtuinlaan;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
20;Q3001;Dinastraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
28;Q3001;Eerste Rijweg;Q79007;Straat in Paramaribo;Street in Paramaribo;Nieuwe Rijweg;;;;;;;1837;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
39;Q3001;Groeneweg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
60;Q3001;Kaaimanweg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
78;Q3001;Krabbesteeg;Q79007;Straat in Paramaribo;Street in Paramaribo;Watermolensteeg;Krabbehoek;;;;;;1782;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
85;Q3001;Leendertweg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
99;Q3001;Mispellaan;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
111;Q3001;Nieuwe Charlesburgweg naar zee;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
116;Q3001;Oranjelaan;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
120;Q3001;Oude Charlesburgweg naar zee;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
124;Q3001;Paragrasweg;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
143;Q3001;Schuiermanstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
145;Q3001;Sophialaan;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1837;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
151;Q3001;Swallenbergstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;Zwaluwenstraat;;;;;;;1921;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
157;Q3001;Tweede Rijweg;Q79007;Straat in Paramaribo;Street in Paramaribo;Oude Rijweg;;;;;;;1837;;1921;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
171;Q3001;Verlengde Molenpad;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1855;;1921;1985;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
196;Q3001;Beter Wonenstraat;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1946;;1946;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
231;Q3001;Poelepantjeplein;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;;;1948;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
188;Q3001;1e Zijstraat (van de Anniestraat);Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1900;;1950;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
189;Q3001;2e Zijstraat (van de Anniestraat);Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1900;;1950;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
190;Q3001;3e Zijstraat (van de Anniestraat);Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1900;;1950;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
191;Q3001;4e Zijstraat (van de Anniestraat);Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1900;;1950;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
192;Q3001;5e Zijstraat (van de Anniestraat);Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1900;;1950;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
149;Q3001;Steenbakkersgracht;Q79007;Straat in Paramaribo;Street in Paramaribo;;;;;;;;1769;;1956;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
37;Q3001;Gouvernementsplein;Q79007;Straat in Paramaribo;Street in Paramaribo;Plein;;;;;;;1737;;1958;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
117;Q3001;Oranjestraat;Q79007;Straat in Paramaribo;Street in Paramaribo;Orangestraat;;;;;;;1737;;1958;;https://www.concordansparamaribo.info/adres/stratenlijst;Q138025857
